cell_type1	dataset	is_endo
brainneurons astrocyte of the cerebral cortex_pool1	brainneurons astrocyte of the cerebral cortex	brainneurons	no
brainneurons astrocyte of the cerebral cortex_pool2	brainneurons astrocyte of the cerebral cortex	brainneurons	no
brainneurons astrocyte of the cerebral cortex_pool3	brainneurons astrocyte of the cerebral cortex	brainneurons	no
brainneurons astrocyte of the cerebral cortex_pool4	brainneurons astrocyte of the cerebral cortex	brainneurons	no
brainneurons astrocyte of the cerebral cortex_pool5	brainneurons astrocyte of the cerebral cortex	brainneurons	no
brainneurons brain pericyte_pool1	brainneurons brain pericyte	brainneurons	no
brainneurons endothelial cell_pool1	brainneurons endothelial cell	brainneurons	yes
brainneurons endothelial cell_pool2	brainneurons endothelial cell	brainneurons	yes
brainneurons endothelial cell_pool3	brainneurons endothelial cell	brainneurons	yes
brainneurons endothelial cell_pool4	brainneurons endothelial cell	brainneurons	yes
brainneurons endothelial cell_pool5	brainneurons endothelial cell	brainneurons	yes
brainneurons endothelial cell_pool6	brainneurons endothelial cell	brainneurons	yes
brainneurons endothelial cell_pool7	brainneurons endothelial cell	brainneurons	yes
brainneurons neuron_pool1	brainneurons neuron	brainneurons	no
brainneurons neuron_pool2	brainneurons neuron	brainneurons	no
brainneurons oligodendrocyte_pool1	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool2	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool3	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool4	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool5	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool6	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool7	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool8	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool9	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool10	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool11	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool12	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool13	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte_pool14	brainneurons oligodendrocyte	brainneurons	no
brainneurons oligodendrocyte precursor cell_pool1	brainneurons oligodendrocyte precursor cell	brainneurons	no
brainneurons oligodendrocyte precursor cell_pool2	brainneurons oligodendrocyte precursor cell	brainneurons	no
fat B cell_pool1	fat B cell	fat	no
fat B cell_pool2	fat B cell	fat	no
fat B cell_pool3	fat B cell	fat	no
fat B cell_pool4	fat B cell	fat	no
fat B cell_pool5	fat B cell	fat	no
fat B cell_pool6	fat B cell	fat	no
fat endothelial cell_pool1	fat endothelial cell	fat	yes
fat endothelial cell_pool2	fat endothelial cell	fat	yes
fat endothelial cell_pool3	fat endothelial cell	fat	yes
fat endothelial cell_pool4	fat endothelial cell	fat	yes
fat endothelial cell_pool5	fat endothelial cell	fat	yes
fat endothelial cell_pool6	fat endothelial cell	fat	yes
fat endothelial cell_pool7	fat endothelial cell	fat	yes
fat granulocyte_pool1	fat granulocyte	fat	no
fat granulocyte_pool2	fat granulocyte	fat	no
fat granulocyte_pool3	fat granulocyte	fat	no
fat granulocyte_pool4	fat granulocyte	fat	no
fat granulocyte_pool5	fat granulocyte	fat	no
fat mesenchymal stem cell of adipose_pool1	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool2	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool3	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool4	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool5	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool6	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool7	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool8	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool9	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool10	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool11	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool12	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool13	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool14	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool15	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool16	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool17	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool18	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool19	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool20	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool21	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool22	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool23	fat mesenchymal stem cell of adipose	fat	no
fat mesenchymal stem cell of adipose_pool24	fat mesenchymal stem cell of adipose	fat	no
fat myeloid cell_pool1	fat myeloid cell	fat	no
fat myeloid cell_pool2	fat myeloid cell	fat	no
fat myeloid cell_pool3	fat myeloid cell	fat	no
fat myeloid cell_pool4	fat myeloid cell	fat	no
fat myeloid cell_pool5	fat myeloid cell	fat	no
fat natural killer cell_pool1	fat natural killer cell	fat	no
fat neutrophil_pool1	fat neutrophil	fat	no
fat neutrophil_pool2	fat neutrophil	fat	no
fat T cell_pool1	fat T cell	fat	no
fat T cell_pool2	fat T cell	fat	no
fat T cell_pool3	fat T cell	fat	no
fat T cell_pool4	fat T cell	fat	no
heart cardiac muscle cell_pool1	heart cardiac muscle cell	heart	no
heart endocardial cell_pool1	heart endocardial cell	heart	no
heart endocardial cell_pool2	heart endocardial cell	heart	no
heart endothelial cell_pool1	heart endothelial cell	heart	yes
heart endothelial cell_pool2	heart endothelial cell	heart	yes
heart endothelial cell_pool3	heart endothelial cell	heart	yes
heart endothelial cell_pool4	heart endothelial cell	heart	yes
heart endothelial cell_pool5	heart endothelial cell	heart	yes
heart endothelial cell_pool6	heart endothelial cell	heart	yes
heart endothelial cell_pool7	heart endothelial cell	heart	yes
heart endothelial cell_pool8	heart endothelial cell	heart	yes
heart endothelial cell_pool9	heart endothelial cell	heart	yes
heart endothelial cell_pool10	heart endothelial cell	heart	yes
heart endothelial cell_pool11	heart endothelial cell	heart	yes
heart endothelial cell_pool12	heart endothelial cell	heart	yes
heart endothelial cell_pool13	heart endothelial cell	heart	yes
heart endothelial cell_pool14	heart endothelial cell	heart	yes
heart endothelial cell_pool15	heart endothelial cell	heart	yes
heart epicardial adipocyte_pool1	heart epicardial adipocyte	heart	no
heart fibroblast_pool1	heart fibroblast	heart	no
heart fibroblast_pool2	heart fibroblast	heart	no
heart fibroblast_pool3	heart fibroblast	heart	no
heart fibroblast_pool4	heart fibroblast	heart	no
heart fibroblast_pool5	heart fibroblast	heart	no
heart fibroblast_pool6	heart fibroblast	heart	no
heart fibroblast_pool7	heart fibroblast	heart	no
