,subfamily,sum,celltype
pseudobulk_0,ZFX:C2H2,0.25741910517081124,late pro-B cell
pseudobulk_1,ZFX:C2H2,0.22035231124755228,naive B cell
pseudobulk_2,ZFX:C2H2,0.27071096107647463,late pro-B cell
pseudobulk_3,ZFX:C2H2,0.2638830943835728,macrophage
pseudobulk_4,ZFX:C2H2,0.27312696871740627,late pro-B cell
pseudobulk_5,ZFX:C2H2,0.24899258462392027,precursor B cell
pseudobulk_6,ZFX:C2H2,0.2294835266438895,naive B cell
pseudobulk_7,ZFX:C2H2,0.2076657209545374,naive B cell
pseudobulk_8,ZFX:C2H2,0.24945114557340275,granulocyte
pseudobulk_9,ZFX:C2H2,0.2517277983988606,granulocyte
pseudobulk_10,ZFX:C2H2,0.1867760434979573,granulocyte
pseudobulk_11,ZFX:C2H2,0.29169850492326077,granulocyte monocyte progenitor cell
pseudobulk_12,ZFX:C2H2,0.18359026592224836,granulocyte
pseudobulk_13,ZFX:C2H2,0.2528759838314727,naive B cell
pseudobulk_14,ZFX:C2H2,0.22466317980433814,naive B cell
pseudobulk_15,ZFX:C2H2,0.24359575286507607,naive B cell
pseudobulk_16,ZFX:C2H2,0.26385799027775647,mature natural killer cell
pseudobulk_17,ZFX:C2H2,0.25676716676389333,precursor B cell
pseudobulk_18,ZFX:C2H2,0.2626187954301713,naive B cell
pseudobulk_19,ZFX:C2H2,0.3030269000098542,late pro-B cell
pseudobulk_20,ZFX:C2H2,0.23692929098615423,naive B cell
pseudobulk_21,ZFX:C2H2,0.22672979287062844,precursor B cell
pseudobulk_22,ZFX:C2H2,0.2853966988419643,late pro-B cell
pseudobulk_23,ZFX:C2H2,0.22737330442396342,granulocyte
pseudobulk_24,ZFX:C2H2,0.24630295017414028,granulocyte
pseudobulk_25,ZFX:C2H2,0.24293902781209908,granulocyte
pseudobulk_26,ZFX:C2H2,0.2316127461817814,precursor B cell
pseudobulk_27,ZFX:C2H2,0.29629964163177647,hematopoietic precursor cell
pseudobulk_28,ZFX:C2H2,0.2861605673970189,Slamf1-negative multipotent progenitor cell
pseudobulk_29,ZFX:C2H2,0.2864551184538868,Slamf1-negative multipotent progenitor cell
pseudobulk_30,ZFX:C2H2,0.31228510641813045,common lymphoid progenitor
pseudobulk_31,ZFX:C2H2,0.2881149965469376,Slamf1-negative multipotent progenitor cell
pseudobulk_32,ZFX:C2H2,0.2770375760010211,Slamf1-negative multipotent progenitor cell
pseudobulk_33,ZFX:C2H2,0.289439039726858,common lymphoid progenitor
pseudobulk_34,ZFX:C2H2,0.27627088562439894,Slamf1-negative multipotent progenitor cell
pseudobulk_35,ZFX:C2H2,0.29223761367757106,precursor B cell
pseudobulk_36,ZFX:C2H2,0.2616668444388779,hematopoietic precursor cell
pseudobulk_37,ZFX:C2H2,0.1837467904551886,granulocyte
pseudobulk_38,ZFX:C2H2,0.1952905558355269,granulocyte
pseudobulk_39,ZFX:C2H2,0.22301354332012124,granulocyte
pseudobulk_40,ZFX:C2H2,0.24285048823367106,monocyte
pseudobulk_41,ZFX:C2H2,0.22358068605444714,granulocyte
pseudobulk_42,ZFX:C2H2,0.2657676471717423,monocyte
pseudobulk_43,ZFX:C2H2,0.23558103096002014,granulocyte
pseudobulk_44,ZFX:C2H2,0.19610294274207263,granulocyte
pseudobulk_45,ZFX:C2H2,0.2651601198595017,monocyte
